Month|Year|Current period revenue|Previous period revenue|Previous Year|Difference in Revenue
01|1993|24753231.5263|29253389.6627|1992|-4500158.1364
02|1993|24855018.6369|23707595.2813|1992|1147423.3556
03|1993|23557904.426|28292976.7845|1992|-4735072.3585
04|1993|25303870.929|26663200.5775|1992|-1359329.6485
05|1993|27447758.9238|26430796.3036|1992|1016962.6202
06|1993|24350293.5602|24027814.3652|1992|322479.195
07|1993|25126613.1494|25344993.1775|1992|-218380.0281
08|1993|25702903.18|27862035.7818|1992|-2159132.6018
09|1993|28765084.253|26375607.9517|1992|2389476.3013
10|1993|29558233.359|25569894.3717|1992|3988338.9873
